Model,Price,Rating,Inches,RAM_GB,SSD_GB,Storage_Detail,Screen_Width,Screen_Height,Screen_Resolution_Type,CPU_Detail,GPU_Detail,OS_Detail,Price_Category
HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),138990.0,79.0,16.1,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,14th Gen Intel Core i7 14700HX,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
Lenovo IdeaPad Slim 3 83ER008GIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),53490.0,57.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 12450H,Intel Integrated UHD Graphics,Windows 11 OS,1
Samsung Galaxy Book 4 Ultra Laptop (Intel Core Ultra 7 155H/ 32 GB RAM/ 1 TB SSD/ 6 GB Graphics),299999.0,75.0,16.0,32.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Intel Core Ultra 7 155H,6 GB NVIDIA GeForce RTX 4050,Backlit Keyboard,2
HP Victus 15-fa1145TX Gaming Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),65690.0,68.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i5 12450H,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,1
Colorful Evol P15 Gaming Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),89999.0,70.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i7 12650H,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,2
Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),399900.0,65.0,16.2,48.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,Apple M3 Max,40 Core GPU,Mac OS,2
Dell Inspiron 3530 Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),69990.0,53.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 1355U,Intel UHD Graphics,Windows 11 OS,1
Asus Vivobook 15 X1502ZA-EJ385WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),39990.0,53.0,15.6,8.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,12th Gen Intel Core i3 1220P,Intel UHD Graphics,Windows 11 OS,0
HP Pavilion 15-eg3032TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),84700.0,64.0,15.6,16.0,512.0,512 GB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 1360P,Intel Iris Xe Graphics,Windows 11 OS,2
Dell G15-5530 15 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),99990.0,70.0,15.6,16.0,1024.0,1 TB SSD,0.0,0.0,Non-IPS,13th Gen Intel Core i7 13650HX,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,2
